topic_number,title,hook,video_prompt,on_screen_bullets,image_url,hashtags,caption,image_credit,image_source
1,The Enlightenment,Reason changed the world forever.,"Create a 30-second history short about The Enlightenment. Hook: An intellectual movement that reshaped politics and science. Cover: Voltaire, Locke, and Rousseau challenged the authority of kings and churches across Europe. The Encyclopédie cataloged human knowledge and spread Enlightenment ideas to a wide audience. Enlightenment thinkers placed reason above superstition in politics, science, and daily life. Enlightenment ideals inspired revolutions in America, France, and beyond. Enlightenment philosophers championed free speech, religious tolerance, and individual rights. The Enlightenment peaked in 18th-century Europe and reshaped governments on both sides of the Atlantic. Salons and coffeehouses spread radical new ideas about liberty, science, and human rights. Enlightenment thinkers challenged absolute monarchy and helped inspire modern constitutional democracy.","Voltaire, Locke, and Rousseau challenged the authority of kings and churches across Europe. | The Encyclopédie cataloged human knowledge and spread Enlightenment ideas to a wide audience. | Enlightenment thinkers placed reason above superstition in politics, science, and daily life. | Enlightenment ideals inspired revolutions in America, France, and beyond. | Enlightenment philosophers championed free speech, religious tolerance, and individual rights. | The Enlightenment peaked in 18th-century Europe and reshaped governments on both sides of the Atlantic. | Salons and coffeehouses spread radical new ideas about liberty, science, and human rights. | Enlightenment thinkers challenged absolute monarchy and helped inspire modern constitutional democracy. | The Age of Enlightenment was a period of intellectual and cultural flourishing in Europe and Western civilization. | Contemporary reports still describe The Enlightenment. | Later histories kept returning to The Enlightenment. | Surviving photographs still illustrate The Enlightenment.",/images/catalog/001-the-enlightenment.jpg,#HistoryTok #Enlightenment #Philosophy #DidYouKnow,The Age of Reason changed everything. Voltaire. Locke. Rousseau. They didn't just think — they rewrote the rules. #HistoryTok #Enlightenment #Philosophy #DidYouKnow,Raphael · Public domain,https://commons.wikimedia.org/wiki/File:The_School_of_Athens_by_Raphael.jpg
57,Attila the Hun,Scourge of God. Rome FEARED him.,"Create a 30-second vertical history short about Attila the Hun. Hook: Scourge of God. Rome FEARED him. Cover: Led Hunnic Empire across Europe 434-453 CE — a key part of the story of Attila the Hun. Demanded half the Western Roman Empire as tribute. Invaded Gaul and Italy sacking cities — a key part of the story of Attila the Hun. Died on wedding night cause disputed — a key part of the story of Attila the Hun. His death ended major Hunnic threat to Rome. Attila led the Hunnic Empire across Europe in the mid-5th century CE. Both the Eastern and Western Roman Empires paid him tribute to avoid invasion. His sudden death in 453 CE ended the greatest Hunnic threat to Rome. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Led Hunnic Empire across Europe 434-453 CE. | Demanded half the Western Roman Empire as tribute. | Invaded Gaul and Italy sacking cities. | Died on wedding night cause disputed. | His death ended major Hunnic threat to Rome. | Attila led the Hunnic Empire across Europe in the mid-5th century CE. | Both the Eastern and Western Roman Empires paid him tribute to avoid invasion. | During his reign, Attila was one of the most feared enemies of the Western and Eastern Roman Empires. | He subsequently invaded Italy, devastating the northern provinces, but was unable to take Rome. | Attila, frequently called Attila the Hun and also known by his nickname The Scourge of God was the ruler of the Huns from 434 until his death in early 453. | He crossed the Danube twice and plundered the Balkans but was unable to take Constantinople, stopped by the double walls of the Eastern capital. | He was also the leader of an empire consisting of Huns, Ostrogoths, Alans, and Gepids, among others, in Central and Eastern Europe.",/images/catalog/057-attila-the-hun.jpg,#Attila #Huns #AncientHistory #HistoryTok,Rome paid tribute to a barbarian king. #Attila #Huns #AncientHistory #HistoryTok,Márk Kálti · Public domain,https://commons.wikimedia.org/wiki/File:Attila_%28K%C3%A9pes_kr%C3%B3nika%29_%28cropped%29.jpg
58,Boudica's Revolt,She burned London to the GROUND.,"Create a 30-second vertical history short about Boudica's Revolt. Hook: She burned London to the GROUND. Cover: Celtic queen of Iceni tribe in Britain — a key part of the story of Boudica's Revolt. Romans flogged her and raped her daughters — a key part of the story of Boudica's Revolt. Led army that destroyed Colchester and London — a key part of the story of Boudica's Revolt. Killed 70,000 Romans and allies — a key part of the story of Boudica's Revolt. Defeated then poisoned herself to avoid capture — a key part of the story of Boudica's Revolt. Queen Boudica of the Iceni tribe led a massive uprising against Roman rule in 60-61 CE. Her forces burned Colchester, London, and St. Albans before facing defeat. She remains a powerful symbol of resistance and Celtic identity in Britain. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Celtic queen of Iceni tribe in Britain. | Romans flogged her and raped her daughters. | Led army that destroyed Colchester and London. | Killed 70,000 Romans and allies. | Defeated then poisoned herself to avoid capture. | Queen Boudica of the Iceni tribe led a massive uprising against Roman rule in 60-61 CE. | Her forces burned Colchester, London, and St. Albans before facing defeat. | She remains a powerful symbol of resistance and Celtic identity in Britain. | It took place circa AD 60–61 in the Roman province of Britain, and it was led by Boudica, the Queen of the Iceni tribe. | The Boudican revolt was an armed uprising by native Celtic Britons against the Roman Empire during the Roman conquest of Britain. | The location of this battle is not known. | Contemporary reports still describe Boudica's Revolt.",/images/catalog/058-boudica-s-revolt.jpg,#Boudica #CelticHistory #Britain #HistoryTok,Rome broke a queen. She broke Rome back. #Boudica #CelticHistory #Britain #HistoryTok,John Opie · Public domain,https://commons.wikimedia.org/wiki/File:Queen_Boudica_by_John_Opie.jpg
59,Ashoka the Great,Conqueror turned BUDDHIST.,"Create a 30-second vertical history short about Ashoka the Great. Hook: Conqueror turned BUDDHIST. Cover: Mauryan emperor of India 268-232 BCE — a key part of the story of Ashoka the Great. Kalinga War deaths horrified him into peace — a key part of the story of Ashoka the Great. Spread Buddhism across Asia via edicts — a key part of the story of Ashoka the Great. Built pillars with earliest readable Indian script — a key part of the story of Ashoka the Great. One of history's greatest rulers of compassion — a key part of the story of Ashoka the Great. Ashoka ruled the Mauryan Empire in India from roughly 268 to 232 BCE. The carnage of the Kalinga War horrified him and turned him toward Buddhism. His edicts on pillars across India promoted nonviolence, tolerance, and moral governance. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Mauryan emperor of India 268-232 BCE. | Kalinga War deaths horrified him into peace. | Spread Buddhism across Asia via edicts. | Built pillars with earliest readable Indian script. | One of history's greatest rulers of compassion. | The carnage of the Kalinga War horrified him and turned him toward Buddhism. | His edicts on pillars across India promoted nonviolence, tolerance, and moral governance. | A patron of Buddhism, he is credited with an important role in the spread of Buddhism across ancient Asia. | Ashoka's edicts suggest that a few years after the Kalinga War, he was gradually drawn towards Buddhism. | Ashoka, IAST: Aśoka; c. 304 – 232 BCE), most commonly known as Ashoka the Great was Emperor of Magadha from c. 268 BCE until his death. | Ashoka the Great is usually dated to 232 BCE. | Contemporary reports still describe Ashoka the Great.",/images/catalog/059-ashoka-the-great.jpg,#Ashoka #IndianHistory #Buddhism #HistoryTok,He conquered. Then he changed. #Ashoka #IndianHistory #Buddhism #HistoryTok,"Photo Dharma from Sadao, Thailand · CC BY 2.0",https://commons.wikimedia.org/wiki/File:Ashoka%27s_visit_to_the_Ramagrama_stupa_Sanchi_Stupa_1_Southern_gateway.jpg
60,Destruction of Carthage,Rome salted the EARTH.,"Create a 30-second vertical history short about Destruction of Carthage. Hook: Rome salted the EARTH. Cover: Third Punic War ended 146 BCE — a key part of the story of Destruction of Carthage. Scipio Aemilianus razed city over 17 days — a key part of the story of Destruction of Carthage. Survivors sold into slavery — a key part of the story of Destruction of Carthage. Legend says Rome sowed fields with salt — a key part of the story of Destruction of Carthage. Removed Rome's greatest Mediterranean rival — a key part of the story of Destruction of Carthage. Rome destroyed Carthage in 146 BCE after the Third Punic War. The city was razed and its territory became the Roman province of Africa. The legend that Rome salted the earth may be myth, but Carthage was utterly erased. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Third Punic War ended 146 BCE. | Scipio Aemilianus razed city over 17 days. | Legend says Rome sowed fields with salt. | Removed Rome's greatest Mediterranean rival. | The city was razed and its territory became the Roman province of Africa. | The legend that Rome salted the earth may be myth, but Carthage was utterly erased. | The siege of Carthage was the main engagement of the Third Punic War fought between Carthage and Rome. | Destruction of Carthage is usually dated to 146 BCE. | Contemporary reports still describe Destruction of Carthage. | Later histories kept returning to Destruction of Carthage. | Surviving photographs still illustrate Destruction of Carthage. | Standard world-history surveys still include Destruction of Carthage.",/images/catalog/060-destruction-of-carthage.jpg,#Carthage #AncientRome #War #HistoryTok,They didn't just win. They erased a civilization. #Carthage #AncientRome #War #HistoryTok,"Patrick Verdier, Free On Line Photos · Copyrighted free use",https://commons.wikimedia.org/wiki/File:Ruines_de_Carthage.jpg
61,Minoan Eruption of Thera,Volcano killed a CIVILIZATION.,"Create a 30-second vertical history short about Minoan Eruption of Thera. Hook: Volcano killed a CIVILIZATION. Cover: Massive eruption circa 1600 BCE near Crete — a key part of the story of Minoan Eruption of Thera. Devastated advanced Minoan civilization — a key part of the story of Minoan Eruption of Thera. Possibly inspired Atlantis legend — a key part of the story of Minoan Eruption of Thera. Tsunami hit Crete 100 miles away — a key part of the story of Minoan Eruption of Thera. One of largest volcanic events in human history. A volcano may have erased Atlantis. The events surrounding Minoan Eruption of Thera reveal how quickly history can turn on a single decision. From classrooms to documentaries, Minoan Eruption of Thera remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",Massive eruption circa 1600 BCE near Crete. | Devastated advanced Minoan civilization. | Possibly inspired Atlantis legend. | Tsunami hit Crete 100 miles away. | One of largest volcanic events in human history. | A volcano may have erased Atlantis. | The Minoan eruption was a catastrophic volcanic eruption that devastated the Aegean island of Thera circa 1600 BC. | Minoan Eruption of Thera is usually dated to 1600 BCE. | Another date tied to Minoan Eruption of Thera is 1600. | Contemporary reports still describe Minoan Eruption of Thera. | Later histories kept returning to Minoan Eruption of Thera. | Surviving photographs still illustrate Minoan Eruption of Thera.,/images/catalog/061-minoan-eruption-of-thera.jpg,#Thera #Volcano #AncientGreece #HistoryTok,A volcano may have erased Atlantis. #Thera #Volcano #AncientGreece #HistoryTok,NASA · Public domain,https://commons.wikimedia.org/wiki/File:Santorini_ASTER.jpg
62,Oracle of Delphi,Kings traveled WEEKS for her words.,"Create a 30-second vertical history short about Oracle of Delphi. Hook: Kings traveled WEEKS for her words. Cover: Priestess Pythia delivered prophecies for centuries — a key part of the story of Oracle of Delphi. Sitting over volcanic fumes caused trance states — a key part of the story of Oracle of Delphi. Consulted before wars and founding cities — a key part of the story of Oracle of Delphi. Croesus of Lydia and Alexander the Great visited. Closed by Christian emperor Theodosius 393 CE — a key part of the story of Oracle of Delphi. Empires rose and fell on her riddles. The events surrounding Oracle of Delphi reveal how quickly history can turn on a single decision. From classrooms to documentaries, Oracle of Delphi remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Priestess Pythia delivered prophecies for centuries. | Sitting over volcanic fumes caused trance states. | Consulted before wars and founding cities. | Croesus of Lydia and Alexander the Great visited. | Closed by Christian emperor Theodosius 393 CE. | Empires rose and fell on her riddles. | Pythia was the title of the high priestess of the Temple of Apollo at Delphi in central Greece. | She served as its oracle and was known as the Oracle of Delphi. | Her title was sometimes historically glossed in English as the Pythoness. | During this period, the Delphic Oracle was the most prestigious and authoritative oracle among the Greeks. | The oracle is one of the best-documented religious institutions of the classical Greeks. | The Pythia was established at the latest in the 8th century BC, and was widely credited for her prophecies uttered under divine possession by Apollo.",/images/catalog/062-oracle-of-delphi.jpg,#Delphi #AncientGreece #Mystery #HistoryTok,Empires rose and fell on her riddles. #Delphi #AncientGreece #Mystery #HistoryTok,Anna Tziaki · CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Temple_of_Apollo_at_Delphi.jpg
63,Egyptian Mummification,70 days. Organs in JARS.,"Create a 30-second vertical history short about Egyptian Mummification. Hook: 70 days. Organs in JARS. Cover: Process took 70 days for elite Egyptians — a key part of the story of Egyptian Mummification. Brain removed through nose with hooks — a key part of the story of Egyptian Mummification. Heart left in body as seat of the soul. Canopic jars held liver lungs stomach intestines — a key part of the story of Egyptian Mummification. Believed necessary for afterlife journey — a key part of the story of Egyptian Mummification. Death was just the beginning. Archaeologists and historians continue to uncover new evidence about Egyptian Mummification. Ancient sources and modern science together help us reconstruct the world of Egyptian Mummification. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Process took 70 days for elite Egyptians. | Brain removed through nose with hooks. | Heart left in body as seat of the soul. | Canopic jars held liver lungs stomach intestines. | Believed necessary for afterlife journey. | Death was just the beginning. | Archaeologists and historians continue to uncover new evidence about Egyptian Mummification. | Ancient sources and modern science together help us reconstruct the world of Egyptian Mummification. | Early burials were in simple, shallow oval pits, with a few burial goods. | The ancient Egyptians had an elaborate set of funerary practices that they believed were necessary to ensure their immortality after death. | The ancient burial process evolved over time as old customs were discarded and new ones adopted, but several important elements of the process persisted. | This likely explains why people of that time did not follow the common practice of cremation among neighboring cultures, but rather buried the dead.",/images/catalog/063-egyptian-mummification.jpg,#Mummies #AncientEgypt #DeathRituals #HistoryTok,Death was just the beginning. #Mummies #AncientEgypt #DeathRituals #HistoryTok,Hunefer · Public domain,https://commons.wikimedia.org/wiki/File:Opening_of_the_mouth_ceremony_%28cropped%29.jpg
64,Invention of Writing,First words EVER carved in clay.,"Create a 30-second vertical history short about Invention of Writing. Hook: First words EVER carved in clay. Cover: Sumerian cuneiform circa 3200 BCE in Mesopotamia — a key part of the story of Invention of Writing. Started as accounting marks on clay tablets — a key part of the story of Invention of Writing. Epic of Gilgamesh oldest known literature — a key part of the story of Invention of Writing. Writing enabled law religion and science — a key part of the story of Invention of Writing. Most transformative invention in human history — a key part of the story of Invention of Writing. Before writing there was no history only memory. The breakthrough behind Invention of Writing built on centuries of experimentation and curiosity. Technologies born from Invention of Writing still shape daily life in the modern world. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Sumerian cuneiform circa 3200 BCE in Mesopotamia. | Started as accounting marks on clay tablets. | Epic of Gilgamesh oldest known literature. | Writing enabled law religion and science. | Most transformative invention in human history. | Before writing there was no history only memory. | The breakthrough behind Invention of Writing built on centuries of experimentation and curiosity. | Technologies born from Invention of Writing still shape daily life in the modern world. | Firstly, writing has some purpose or meaning to it. | True writing, where the content of linguistic utterances can be accurately reconstructed by later readers is a later development. | Early uses of writing included documenting agricultural transactions and contracts, but it was soon used in the areas of finance, religion, government. | An invention is a unique or novel device, method, composition, idea, or process.",/images/catalog/064-invention-of-writing.jpg,#Writing #Sumer #AncientHistory #DidYouKnow,Before writing there was no history only memory. #Writing #Sumer #AncientHistory #DidYouKnow,Hans Hillewaert · CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Rosetta_Stone.JPG
65,Battle of Cannae,"Rome's worst defeat. 50,000 DEAD.","Create a 30-second vertical history short about Battle of Cannae. Hook: Rome's worst defeat. 50,000 DEAD. Cover: Hannibal's masterpiece August 216 BCE — a key part of the story of Battle of Cannae. Double envelopment surrounded Roman army — a key part of the story of Battle of Cannae. 50,000 Romans killed in single day — a key part of the story of Battle of Cannae. Still studied in military academies worldwide — a key part of the story of Battle of Cannae. Rome refused to surrender after the disaster — a key part of the story of Battle of Cannae. The perfect battle. 50,000 dead. The outcome of Battle of Cannae reshaped borders, rulers, and the balance of power. Military academies and historians still analyze the tactics and decisions of Battle of Cannae. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Hannibal's masterpiece August 216 BCE. | Double envelopment surrounded Roman army. | 50,000 Romans killed in single day. | Still studied in military academies worldwide. | Rome refused to surrender after the disaster. | The perfect battle. 50,000 dead. | The outcome of Battle of Cannae reshaped borders, rulers, and the balance of power. | Military academies and historians still analyze the tactics and decisions of Battle of Cannae. | It is regarded as one of the greatest tactical feats in military history and one of the worst defeats in Roman history. | Later historians and military strategists have used Cannae as an exemplary battle of annihilation. | Battle of Cannae is usually dated to 216 BCE. | Contemporary reports still describe Battle of Cannae.",/images/catalog/065-battle-of-cannae.jpg,#Cannae #Hannibal #MilitaryHistory #HistoryTok,"The perfect battle. 50,000 dead. #Cannae #Hannibal #MilitaryHistory #HistoryTok",John Trumbull · Public domain,https://commons.wikimedia.org/wiki/File:The_Death_of_Paulus_Aemilius_at_the_Battle_of_Cannae_%28Yale_University_Art_Gallery_scan%29.jpg
66,Nazca Lines,Giant drawings. Only visible from SKY.,"Create a 30-second vertical history short about Nazca Lines. Hook: Giant drawings. Only visible from SKY. Cover: Created 500 BCE to 500 CE in Peru desert. Include monkey spider hummingbird and whale — a key part of the story of Nazca Lines. Lines up to 30 miles long — a key part of the story of Nazca Lines. Purpose unknown: astronomy rituals or water — a key part of the story of Nazca Lines. Only fully visible from aircraft altitude — a key part of the story of Nazca Lines. Who drew a monkey you can only see from space?. The events surrounding Nazca Lines reveal how quickly history can turn on a single decision. From classrooms to documentaries, Nazca Lines remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Created 500 BCE to 500 CE in Peru desert. | Include monkey spider hummingbird and whale. | Lines up to 30 miles long. | Purpose unknown: astronomy rituals or water. | Only fully visible from aircraft altitude. | Who drew a monkey you can only see from space?. | The combined length of all the lines is more than 1,300 km, and the group covers an area of about 50 km2. | The width of the lines varies considerably, but more than half are slightly more than 33 cm wide. | The Nazca lines are a group of geoglyphs made in the soil of the Nazca Desert in southern Peru. | Most lines run straight across the landscape, but there are also figurative designs of animals and plants. | They were made by removing the top layer of reddish-brown ferric oxide–coated pebbles to reveal a yellow-grey subsoil. | There are two major phases of the Nazca lines, Paracas phase, from 400 to 200 BC, and Nazca phase, from 200 BC to 500 AD.",/images/catalog/066-nazca-lines.jpg,#NazcaLines #Peru #Mystery #HistoryTok,Who drew a monkey you can only see from space? #NazcaLines #Peru #Mystery #HistoryTok,Diego Delso · CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:L%C3%ADneas_de_Nazca%2C_Nazca%2C_Per%C3%BA%2C_2015-07-29%2C_DD_49.JPG
67,Hanging Gardens of Babylon,One of seven wonders. Never FOUND.,"Create a 30-second vertical history short about Hanging Gardens of Babylon. Hook: One of seven wonders. Never FOUND. Cover: Described by ancient Greek historians — a key part of the story of Hanging Gardens of Babylon. Said to be tiered gardens in ancient Babylon. No archaeological evidence confirms location — a key part of the story of Hanging Gardens of Babylon. May be myth or confused with Assyrian gardens. One of the great unsolved ancient mysteries — a key part of the story of Hanging Gardens of Babylon. The wonder that might never have existed. Archaeologists and historians continue to uncover new evidence about Hanging Gardens of Babylon. Ancient sources and modern science together help us reconstruct the world of Hanging Gardens of Babylon. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Described by ancient Greek historians. | Said to be tiered gardens in ancient Babylon. | No archaeological evidence confirms location. | May be myth or confused with Assyrian gardens. | One of the great unsolved ancient mysteries. | The wonder that might never have existed. | Archaeologists and historians continue to uncover new evidence about Hanging Gardens of Babylon. | Ancient sources and modern science together help us reconstruct the world of Hanging Gardens of Babylon. | The Hanging Gardens of Babylon were one of the Seven Wonders of the Ancient World listed by Hellenic culture. | It was said to have been built in the ancient city of Babylon, near present-day Hillah, Babil province, in Iraq. | The Hanging Gardens' name is derived from the Greek word κρεμαστός. | This was attested to by the Babylonian priest Berossus, writing in about 290 BC, a description that was later quoted by Josephus.",/images/catalog/067-hanging-gardens-of-babylon.jpg,#Babylon #SevenWonders #Mystery #HistoryTok,The wonder that might never have existed. #Babylon #SevenWonders #Mystery #HistoryTok,Unknown author Unknown author · Public domain,https://commons.wikimedia.org/wiki/File:Hanging_Gardens_of_Babylon.jpg
68,Peloponnesian War,Athens vs Sparta. Both LOST.,"Create a 30-second vertical history short about Peloponnesian War. Hook: Athens vs Sparta. Both LOST. Cover: 27-year conflict 431-404 BCE — a key part of the story of Peloponnesian War. Athens' empire vs Sparta's land power — a key part of the story of Peloponnesian War. Plague killed Pericles and weakened Athens — a key part of the story of Peloponnesian War. Sparta finally won with Persian gold — a key part of the story of Peloponnesian War. Destroyed golden age of Greek civilization — a key part of the story of Peloponnesian War. Two giants fought until both fell. Civilians and soldiers alike bore the devastating human cost of Peloponnesian War. The consequences of Peloponnesian War echoed for generations after the fighting stopped. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","27-year conflict 431-404 BCE. | Athens' empire vs Sparta's land power. | Plague killed Pericles and weakened Athens. | Sparta finally won with Persian gold. | Destroyed golden age of Greek civilization. | Two giants fought until both fell. | With both city-states exhausted from years of fighting, the Peace of Nicias was signed in 421 BC. | The war consists of four related conflicts which have traditionally been combined into one. | The second phase, the Argive War was a proxy war between Sparta and its Peloponnesian rivals, led by Argos and supported by Athens. | Peloponnesian War is usually dated to 404 BCE. | Contemporary reports still describe Peloponnesian War. | Later histories kept returning to Peloponnesian War.",/images/catalog/068-peloponnesian-war.png,#PeloponnesianWar #AncientGreece #War #HistoryTok,Two giants fought until both fell. #PeloponnesianWar #AncientGreece #War #HistoryTok,"U.S. Army Cartographer, as amended by uploader to correct spelling mist… · Public domain",https://commons.wikimedia.org/wiki/File:Peloponnesian_war_alliances_431_BC.png
69,Burning of Persepolis,Alexander burned the Persian capital.,"Create a 30-second vertical history short about Burning of Persepolis. Hook: Alexander burned the Persian capital. Cover: Alexander the Great entered Persepolis 330 BCE — a key part of the story of Burning of Persepolis. Legend says he burned palace in drunken rage. Ended Achaemenid Persian Empire — a key part of the story of Burning of Persepolis. Treasury looted wealth spread to army — a key part of the story of Burning of Persepolis. Symbol of Persian civilization destroyed — a key part of the story of Burning of Persepolis. One night of fire. Empire ended. The events surrounding Burning of Persepolis reveal how quickly history can turn on a single decision. From classrooms to documentaries, Burning of Persepolis remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Alexander the Great entered Persepolis 330 BCE. | Legend says he burned palace in drunken rage. | Ended Achaemenid Persian Empire. | Treasury looted wealth spread to army. | Symbol of Persian civilization destroyed. | One night of fire. Empire ended. | The earliest remains of Persepolis date back to 515 BC. | Persepolis was the ceremonial capital of the Achaemenid Empire. | It is situated in the plains of Marvdasht, encircled by the southern Zagros Mountains, Fars province of Iran. | It is one of the key Iranian cultural heritage sites and a UNESCO World Heritage Site. | The exact function of Persepolis remains unclear. | The complex was taken by the army of Alexander the Great in 330 BC, and soon after, its wooden parts were completely destroyed by fire.",/images/catalog/069-burning-of-persepolis.jpg,#Persepolis #Persia #AlexanderTheGreat #HistoryTok,One night of fire. Empire ended. #Persepolis #Persia #AlexanderTheGreat #HistoryTok,Pentocelo · Public domain,https://commons.wikimedia.org/wiki/File:Persepolis_tablet.jpg
70,Oracle Bones of China,"3,000-year-old questions to GHOSTS.","Create a 30-second vertical history short about Oracle Bones of China. Hook: 3,000-year-old questions to GHOSTS. Cover: Shang Dynasty divination circa 1200 BCE — a key part of the story of Oracle Bones of China. Questions carved on ox scapula and turtle shells. Heat applied until bones cracked for answers — a key part of the story of Oracle Bones of China. Earliest confirmed Chinese writing survives — a key part of the story of Oracle Bones of China. Asked about war harvests and royal health — a key part of the story of Oracle Bones of China. They asked bones about the future. The events surrounding Oracle Bones of China reveal how quickly history can turn on a single decision. From classrooms to documentaries, Oracle Bones of China remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Shang Dynasty divination circa 1200 BCE. | Questions carved on ox scapula and turtle shells. | Heat applied until bones cracked for answers. | Earliest confirmed Chinese writing survives. | Asked about war harvests and royal health. | They asked bones about the future. | These questions were carved onto the bone or shell in oracle bone script using a sharp tool. | Intense heat was then applied with a metal rod until the bone or shell cracked due to thermal expansion. | The diviner would then interpret the pattern of cracks and write the prognostication upon the piece as well. | Scapulimancy is the specific term if ox scapulae were used for the divination, plastromancy if turtle plastrons were used. | Diviners would submit questions to deities regarding weather, crop planting, the fortunes of members of the royal family, military endeavors. | Oracle Bones of China is usually dated to 1200 BCE.",/images/catalog/070-oracle-bones-of-china.jpg,#OracleBones #AncientChina #Archaeology #HistoryTok,They asked bones about the future. #OracleBones #AncientChina #Archaeology #HistoryTok,User Herr Klugbeisser on de.wikipedia Geschossen von im Shanghai -Museu… · CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Orakelknochen.JPG
71,Black Death,Half of Europe. DEAD in 4 years.,"Create a 30-second vertical history short about Black Death. Hook: Half of Europe. DEAD in 4 years. Cover: Pandemic 1347-1351 via fleas on rats — a key part of the story of Black Death. Killed 30-60 percent of Europe's population — a key part of the story of Black Death. Flagellants whipped themselves seeking mercy — a key part of the story of Black Death. Jews falsely blamed and massacred — a key part of the story of Black Death. Labor shortages eventually weakened feudalism — a key part of the story of Black Death. Half of Europe gone in four years. The events surrounding Black Death reveal how quickly history can turn on a single decision. From classrooms to documentaries, Black Death remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Pandemic 1347-1351 via fleas on rats. | Killed 30-60 percent of Europe's population. | Flagellants whipped themselves seeking mercy. | Jews falsely blamed and massacred. | Labor shortages eventually weakened feudalism. | Half of Europe gone in four years. | The Black Death was a plague pandemic that occurred in Europe from 1346 to 1353. | The disease was caused by the bacterium Yersinia pestis. | The Black Death had far-reaching population, economic, and cultural effects. | There were further outbreaks throughout the Late Middle Ages. | It was one of the most fatal pandemics in human history, leading to the death of up to 50 million people, or 50% of Europe's 14th-century population. | It has been tentatively considered as the second plague pandemic, despite each of these outbreaks being separated by around 500–600 years.",/images/catalog/071-black-death.jpg,#BlackDeath #Medieval #Plague #HistoryTok,Half of Europe gone in four years. #BlackDeath #Medieval #Plague #HistoryTok,Pierart dou Tielt (fl. 1340-1360) · Public domain,https://commons.wikimedia.org/wiki/File:Doutielt3.jpg
72,The Crusades,200 years. 9 wars. Holy LAND.,"Create a 30-second vertical history short about The Crusades. Hook: 200 years. 9 wars. Holy LAND. Cover: Series of religious wars 1095-1291 — a key part of the story of The Crusades. Pope Urban II called First Crusade 1095 — a key part of the story of The Crusades. Christians Muslims and Jews all suffered — a key part of the story of The Crusades. Captured Jerusalem then lost it again — a key part of the story of The Crusades. Legacy of mistrust echoes today — a key part of the story of The Crusades. 200 years of holy war. Who won?. The events surrounding The Crusades reveal how quickly history can turn on a single decision. From classrooms to documentaries, The Crusades remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Series of religious wars 1095-1291. | Pope Urban II called First Crusade 1095. | Christians Muslims and Jews all suffered. | Captured Jerusalem then lost it again. | Legacy of mistrust echoes today. | 200 years of holy war. Who won?. | By this time, the papacy's position as head of the Catholic Church had strengthened. | Over time, the crusading movement expanded to include campaigns against pagans, Christian dissidents. | The Crusades is usually dated to 1095. | Another date tied to The Crusades is 1291. | Contemporary reports still describe The Crusades. | Later histories kept returning to The Crusades.",/images/catalog/072-the-crusades.jpg,#Crusades #Medieval #ReligiousWar #HistoryTok,200 years of holy war. Who won? #Crusades #Medieval #ReligiousWar #HistoryTok,Jean Colombe · Public domain,https://commons.wikimedia.org/wiki/File:SiegeofAntioch.jpeg
