topic_number,title,hook,video_prompt,on_screen_bullets,image_url,hashtags,caption
11,American Civil War,Brother vs brother. 620000 DEAD.,"Create a 30-second history short about the American Civil War. Cover: 620000+ dead — a key part of the story of American Civil War. Antietam — deadliest day — a key part of the story of American Civil War. Gettysburg Address 1863 — a key part of the story of American Civil War. Emancipation Proclamation — a key part of the story of American Civil War. Lee surrendered 1865 — a key part of the story of American Civil War. The war began when Confederate forces fired on Fort Sumter in April 1861. An estimated 620,000 soldiers died, making it America's deadliest conflict at the time. The Union victory in 1865 ended slavery and preserved the United States as one nation.","620000+ dead — a key part of the story of American Civil War. | Antietam — deadliest day — a key part of the story of American Civil War. | Gettysburg Address 1863 — a key part of the story of American Civil War. | Emancipation Proclamation — a key part of the story of American Civil War. | Lee surrendered 1865 — a key part of the story of American Civil War. | The war began when Confederate forces fired on Fort Sumter in April 1861. | An estimated 620,000 soldiers died, making it America's deadliest conflict at the time. | The Union victory in 1865 ended slavery and preserved the United States as one nation.",https://upload.wikimedia.org/wikipedia/commons/7/7b/Battle_of_Antietam2.jpg,#CivilWar #USHistory #AbrahamLincoln #HistoryTok,Brother vs brother. 620000 dead. A nation torn apart. #CivilWar #USHistory #AbrahamLincoln #HistoryTok
12,Transcontinental Railroad,Two railroads. One golden spike.,"Create a 30-second history short about the Transcontinental Railroad. Cover: Completed May 10 1869 — a key part of the story of Transcontinental Railroad. 20000+ Chinese laborers — a key part of the story of Transcontinental Railroad. Months to 7 days coast to coast — a key part of the story of Transcontinental Railroad. 130 million acres given away — a key part of the story of Transcontinental Railroad. Golden spike driven — a key part of the story of Transcontinental Railroad. The Central Pacific and Union Pacific railroads met at Promontory Summit, Utah, on May 10, 1869. More than 20,000 Chinese laborers built the treacherous western half through mountains and desert. The railroad cut cross-country travel from months to about seven days.","Completed May 10 1869 — a key part of the story of Transcontinental Railroad. | 20000+ Chinese laborers — a key part of the story of Transcontinental Railroad. | Months to 7 days coast to coast — a key part of the story of Transcontinental Railroad. | 130 million acres given away — a key part of the story of Transcontinental Railroad. | Golden spike driven — a key part of the story of Transcontinental Railroad. | The Central Pacific and Union Pacific railroads met at Promontory Summit, Utah, on May 10, 1869. | More than 20,000 Chinese laborers built the treacherous western half through mountains and desert. | The railroad cut cross-country travel from months to about seven days.",https://upload.wikimedia.org/wikipedia/commons/2/2e/Golden_spike.jpg,#TranscontinentalRailroad #AmericanHistory #RailroadHistory #HistoryFacts,Two railroads. One spike. America connected. #TranscontinentalRailroad #AmericanHistory #RailroadHistory #HistoryFacts
13,Meiji Restoration,Japan feudal to world power in 40 YEARS.,"Create a 30-second history short about the Meiji Restoration. Cover: 250 years of shogunate — ended — a key part of the story of Meiji Restoration. Emperor Meiji restored 1868 — a key part of the story of Meiji Restoration. Samurai abolished — a key part of the story of Meiji Restoration. Beat China AND Russia — a key part of the story of Meiji Restoration. 40-year transformation — a key part of the story of Meiji Restoration. The Meiji Restoration began in 1868, ending over 250 years of Tokugawa shogunate rule. Japan rapidly adopted Western industry, military methods, and education to avoid colonization. Within decades Japan defeated China and Russia, proving its transformation to the world.","250 years of shogunate — ended — a key part of the story of Meiji Restoration. | Emperor Meiji restored 1868 — a key part of the story of Meiji Restoration. | Samurai abolished — a key part of the story of Meiji Restoration. | Beat China AND Russia — a key part of the story of Meiji Restoration. | 40-year transformation — a key part of the story of Meiji Restoration. | The Meiji Restoration began in 1868, ending over 250 years of Tokugawa shogunate rule. | Japan rapidly adopted Western industry, military methods, and education to avoid colonization. | Within decades Japan defeated China and Russia, proving its transformation to the world.",https://upload.wikimedia.org/wikipedia/commons/2/2e/Emperor_Meiji_in_army_uniform.jpg,#MeijiRestoration #JapaneseHistory #Samurai #HistoryTok,Feudal to world power in 40 years. Japan's impossible leap. #MeijiRestoration #JapaneseHistory #Samurai #HistoryTok
14,Jack the Ripper,5 murders. 0 arrests. Still UNSOLVED.,"Create a 30-second history short about Jack the Ripper. Cover: 1888 — East End London — a key part of the story of Jack the Ripper. 5 murders 0 arrests — a key part of the story of Jack the Ripper. Letters signed Jack the Ripper. No DNA. No forensics — a key part of the story of Jack the Ripper. Still unsolved — a key part of the story of Jack the Ripper. Jack the Ripper killed at least five women in London's East End during the autumn of 1888. The killer taunted police and newspapers with letters signed 'Jack the Ripper.'. Despite massive investigation, no suspect was ever convicted and the case remains unsolved.","1888 — East End London — a key part of the story of Jack the Ripper. | 5 murders 0 arrests — a key part of the story of Jack the Ripper. | Letters signed Jack the Ripper. | No DNA. No forensics — a key part of the story of Jack the Ripper. | Still unsolved — a key part of the story of Jack the Ripper. | Jack the Ripper killed at least five women in London's East End during the autumn of 1888. | The killer taunted police and newspapers with letters signed 'Jack the Ripper.' | Despite massive investigation, no suspect was ever convicted and the case remains unsolved.",https://upload.wikimedia.org/wikipedia/commons/8/8e/Whitechapel_High_Street_1880s.jpg,#JackTheRipper #TrueCrime #VictorianLondon #UnsolvedMystery,5 murders. 0 arrests. 130+ years. Who was Jack? #JackTheRipper #TrueCrime #VictorianLondon #UnsolvedMystery
15,Wright Brothers First Flight,12 seconds. Changed FOREVER.,"Create a 30-second history short about the Wright Brothers. Cover: Dec 17 1903 — Kitty Hawk — a key part of the story of Wright Brothers First Flight. 120 feet. 12 seconds — a key part of the story of Wright Brothers First Flight. Bicycle shop to aviation — a key part of the story of Wright Brothers First Flight. 66 years later — Moon landing — a key part of the story of Wright Brothers First Flight. Every plane uses their design — a key part of the story of Wright Brothers First Flight. Orville and Wilbur Wright ran a bicycle shop in Dayton, Ohio, before teaching themselves aerodynamics. Their Flyer achieved the first powered, controlled flight on December 17, 1903, at Kitty Hawk. Their three-axis control system remains fundamental to every aircraft flying today.","Dec 17 1903 — Kitty Hawk — a key part of the story of Wright Brothers First Flight. | 120 feet. 12 seconds — a key part of the story of Wright Brothers First Flight. | Bicycle shop to aviation — a key part of the story of Wright Brothers First Flight. | 66 years later — Moon landing — a key part of the story of Wright Brothers First Flight. | Every plane uses their design — a key part of the story of Wright Brothers First Flight. | Orville and Wilbur Wright ran a bicycle shop in Dayton, Ohio, before teaching themselves aerodynamics. | Their Flyer achieved the first powered, controlled flight on December 17, 1903, at Kitty Hawk. | Their three-axis control system remains fundamental to every aircraft flying today.",https://upload.wikimedia.org/wikipedia/commons/8/86/First_flight2.jpg,#WrightBrothers #AviationHistory #FirstFlight #HistoryTok,12 seconds that changed humanity forever. The first flight. #WrightBrothers #AviationHistory #FirstFlight #HistoryTok
16,Sinking of the Titanic,Unsinkable. Sank in 3 HOURS.,"Create a 30-second history short about the Titanic. Cover: April 14 1912 — a key part of the story of Sinking of the Titanic. 1500+ died — a key part of the story of Sinking of the Titanic. Lifeboats for HALF the people — a key part of the story of Sinking of the Titanic. Band played as it sank — a key part of the story of Sinking of the Titanic. Warnings ignored — a key part of the story of Sinking of the Titanic. The Titanic struck an iceberg on April 14, 1912, and sank in roughly three hours. Of the 2,240 passengers and crew aboard, more than 1,500 lost their lives in the icy Atlantic. The disaster led to major reforms in maritime safety, including mandatory lifeboats for all.","April 14 1912 — a key part of the story of Sinking of the Titanic. | 1500+ died — a key part of the story of Sinking of the Titanic. | Lifeboats for HALF the people — a key part of the story of Sinking of the Titanic. | Band played as it sank — a key part of the story of Sinking of the Titanic. | Warnings ignored — a key part of the story of Sinking of the Titanic. | The Titanic struck an iceberg on April 14, 1912, and sank in roughly three hours. | Of the 2,240 passengers and crew aboard, more than 1,500 lost their lives in the icy Atlantic. | The disaster led to major reforms in maritime safety, including mandatory lifeboats for all.",https://upload.wikimedia.org/wikipedia/commons/6/6d/RMS_Titanic_3.jpg,#Titanic #Shipwreck #1912 #HistoryTok,Unsinkable. Sank in 3 hours. Hubris has a price. #Titanic #Shipwreck #1912 #HistoryTok
17,World War I,One assassination. 20 MILLION dead.,"Create a 30-second history short about World War I. Cover: Franz Ferdinand shot — 1914 — a key part of the story of World War I. Trench warfare = hell — a key part of the story of World War I. Poison gas. Machine guns — a key part of the story of World War I. 20 million dead — a key part of the story of World War I. Armistice Nov 11 1918 — a key part of the story of World War I. Archduke Franz Ferdinand's assassination in Sarajevo on June 28, 1914, triggered the war. Trench warfare, poison gas, and machine guns made the Western Front a hellish stalemate. The Armistice on November 11, 1918, ended fighting but left a broken Europe ripe for future conflict.","Franz Ferdinand shot — 1914 — a key part of the story of World War I. | Trench warfare = hell — a key part of the story of World War I. | Poison gas. Machine guns — a key part of the story of World War I. | 20 million dead — a key part of the story of World War I. | Armistice Nov 11 1918 — a key part of the story of World War I. | Archduke Franz Ferdinand's assassination in Sarajevo on June 28, 1914, triggered the war. | Trench warfare, poison gas, and machine guns made the Western Front a hellish stalemate. | The Armistice on November 11, 1918, ended fighting but left a broken Europe ripe for future conflict.",https://upload.wikimedia.org/wikipedia/commons/7/7e/World_War_I_Trench_Warfare.jpg,#WorldWar1 #WW1 #TrenchWarfare #MilitaryHistory,One shot. 20 million dead. The war that ended an era. #WorldWar1 #WW1 #TrenchWarfare #MilitaryHistory
18,Russian Revolution,Two revolutions. One year. Empire gone.,"Create a 30-second history short about the Russian Revolution. Cover: Tsar executed with his family — a key part of the story of Russian Revolution. Lenin: Peace Land Bread — a key part of the story of Russian Revolution. USSR born 1922 — a key part of the story of Russian Revolution. Civil war killed millions — a key part of the story of Russian Revolution. Divided the world 70 years — a key part of the story of Russian Revolution. Two revolutions in 1917 overthrew the tsar and brought the Bolsheviks to power under Lenin. The Romanov family was executed in 1918, ending centuries of imperial Russian rule. The USSR formed in 1922 and became a global superpower that shaped the 20th century.","Tsar executed with his family — a key part of the story of Russian Revolution. | Lenin: Peace Land Bread — a key part of the story of Russian Revolution. | USSR born 1922 — a key part of the story of Russian Revolution. | Civil war killed millions — a key part of the story of Russian Revolution. | Divided the world 70 years — a key part of the story of Russian Revolution. | Two revolutions in 1917 overthrew the tsar and brought the Bolsheviks to power under Lenin. | The Romanov family was executed in 1918, ending centuries of imperial Russian rule. | The USSR formed in 1922 and became a global superpower that shaped the 20th century.",https://upload.wikimedia.org/wikipedia/commons/1/1e/Bolshevik_Revolution.jpg,#RussianRevolution #SovietUnion #Lenin #HistoryTok,Two revolutions. One year. An empire erased. #RussianRevolution #SovietUnion #Lenin #HistoryTok
19,Roaring Twenties,Jazz. Flappers. Then it all CRASHED.,Create a 30-second history short about the Roaring Twenties. Cover: Women got the vote — 1920 — a key part of the story of Roaring Twenties. Prohibition = speakeasies — a key part of the story of Roaring Twenties. Louis Armstrong & jazz — a key part of the story of Roaring Twenties. Flappers broke every rule — a key part of the story of Roaring Twenties. Crashed Oct 1929 — a key part of the story of Roaring Twenties. The 19th Amendment granted American women the right to vote in 1920. Prohibition from 1920 to 1933 banned alcohol and fueled a booming underground speakeasy culture. The stock market crash of October 1929 ended the decade and ushered in the Great Depression.,Women got the vote — 1920 — a key part of the story of Roaring Twenties. | Prohibition = speakeasies — a key part of the story of Roaring Twenties. | Louis Armstrong & jazz — a key part of the story of Roaring Twenties. | Flappers broke every rule — a key part of the story of Roaring Twenties. | Crashed Oct 1929 — a key part of the story of Roaring Twenties. | The 19th Amendment granted American women the right to vote in 1920. | Prohibition from 1920 to 1933 banned alcohol and fueled a booming underground speakeasy culture. | The stock market crash of October 1929 ended the decade and ushered in the Great Depression.,https://upload.wikimedia.org/wikipedia/commons/4/4e/Charleston_dance.jpg,#RoaringTwenties #JazzAge #Flapper #1920s,Jazz. Flappers. Speakeasies. Then everything collapsed. #RoaringTwenties #JazzAge #Flapper #1920s
20,Discovery of Penicillin,Mold in a dish saved BILLIONS.,Create a 30-second history short about penicillin. Cover: Fleming — 1928 accident — a key part of the story of Discovery of Penicillin. Killed bacteria instantly — a key part of the story of Discovery of Penicillin. Mass-produced for WWII — a key part of the story of Discovery of Penicillin. Launched antibiotic era — a key part of the story of Discovery of Penicillin. Superbugs today — a key part of the story of Discovery of Penicillin. Alexander Fleming discovered penicillin by accident in 1928 when mold contaminated a petri dish. Scientists Florey and Chain later developed methods to mass-produce the antibiotic for WWII. Penicillin launched the antibiotic era and saved countless lives from bacterial infections.,Fleming — 1928 accident — a key part of the story of Discovery of Penicillin. | Killed bacteria instantly — a key part of the story of Discovery of Penicillin. | Mass-produced for WWII — a key part of the story of Discovery of Penicillin. | Launched antibiotic era — a key part of the story of Discovery of Penicillin. | Superbugs today — a key part of the story of Discovery of Penicillin. | Alexander Fleming discovered penicillin by accident in 1928 when mold contaminated a petri dish. | Scientists Florey and Chain later developed methods to mass-produce the antibiotic for WWII. | Penicillin launched the antibiotic era and saved countless lives from bacterial infections.,https://upload.wikimedia.org/wikipedia/commons/b/bf/Alexander_Fleming_in_his_lab.jpg,#Penicillin #MedicalHistory #ScienceFacts #HistoryTok,Mold in a petri dish. Billions saved. The greatest accident in science. #Penicillin #MedicalHistory #ScienceFacts #HistoryTok
21,Great Depression,One crash. A decade of HELL.,"Create a 30-second history short about the Great Depression. Cover: Black Tuesday — Oct 29 1929 — a key part of the story of Great Depression. 25% unemployment — a key part of the story of Great Depression. Hoovervilles everywhere — a key part of the story of Great Depression. Dust Bowl destroyed farms — a key part of the story of Great Depression. WWII ended it — a key part of the story of Great Depression. Black Tuesday on October 29, 1929, saw the stock market lose billions in a single day. Unemployment in the United States eventually reached roughly 25 percent. Franklin Roosevelt's New Deal programs provided relief, recovery, and lasting reforms like Social Security.","Black Tuesday — Oct 29 1929 — a key part of the story of Great Depression. | 25% unemployment — a key part of the story of Great Depression. | Hoovervilles everywhere — a key part of the story of Great Depression. | Dust Bowl destroyed farms — a key part of the story of Great Depression. | WWII ended it — a key part of the story of Great Depression. | Black Tuesday on October 29, 1929, saw the stock market lose billions in a single day. | Unemployment in the United States eventually reached roughly 25 percent. | Franklin Roosevelt's New Deal programs provided relief, recovery, and lasting reforms like Social Security.",https://upload.wikimedia.org/wikipedia/commons/5/54/Lange-MigrantMother02.jpg,#GreatDepression #1930s #AmericanHistory #HistoryTok,One crash. A decade of hell. Could it happen again? #GreatDepression #1930s #AmericanHistory #HistoryTok
